Name,Address,Score
煮場館,惠荃路22-66號,0
超人雞煲烤魚,沙咀道281號,3.7
熊貓美食,川龍街81號,4
頹飯皇,荃灣路德圍69號,4.4
北冰洋,長沙灣青山道489-491號,0
岱民利安店,馬鞍山沙安街23號,5
泰悅小廚,馬鞍山鞍祿街18號,0
泰靚小廚,馬鞍山恆錦街1號,2.3
新康泰美食,馬鞍山鞍祿街18號,0
岱民堅尼地城店,卑路乍街127號,3.7
阿英小食坊,士美菲路43號,0
三餸飯,唐明街1號,0
永旺超市Aeon,將軍澳唐德街1號,3.9
金喜飽點美食,將軍澳唐德街2號,0
樂苑,康山康山道2號,0
Aeon,康山道2號,4.1
煮場館,,2.6
煮場館,將軍澳康城路1號,0
岱民(彩雲)茶餐廳,清水灣道45號,3.4
岱民啟業店,九龍灣啟業邨啟賢樓,2
潮家酒樓,啟晴邨,3.1
真味屋,香港新界荃灣和宜合道389號,0
三多美食,汝州街232號,4.7
大碗飯皇,桂林街48-50,0
北河飯店,深水埗大南街276號,0
民旺(深水埗),青山道100號A號舖,5
永樂燒味廚房,南昌街203-211號,2.7
宅伴廚房,北河街205號,0
金香庭,長沙灣長沙灣道800號,5
金發美食,深水埗北河街155號,4
金翠餐廳,深水埗福華街124號,3.3
星之選美食,深水埗桂林街127號,0
食得樂,深水埗北河街124A號,3.7
家家美食,深水埗長沙灣道216號,3.9
浚利美食,長沙灣道90號,0
真滋味美食,南昌街89號,0
素食工房,深水埗欽州街37號,4
陞爺三餸飯,荔枝角道384號,2.7
添記燒臘茶餐廳,深水埗北河街52號,3.5
麥麥餸,大埔道12A,0
喜記潮州鹵水飯店,深水埗北河街62號,3.3
源興美食,深水埗欽州街37號,4.1
鄭記大飯桶兩餸飯,深水埗欽州街57號,3
膳心小館,白田街13號,4.2
鑊氣三餸飯,汝州街295號,3.5
海岸冰室,愉景灣D'Deck,3.4
Fusion by ParknShop,愉景灣愉景灣道1號,3.9
岱民華貴店,香港仔華貴邨華貴商場,5
岱民順利店,九龍觀塘順利邨,0
八福小廚,竹園環鳳街14號,2
大茶飯,九龍黃大仙竹園道15號,3.4
百佳超級市場,竹園龍翔道136號,3.6
家家美食,竹園雙鳳街16號,3.4
德利小廚,竹園南邨銀竹里,3
九記,黃竹坑南朗山道1號,0
寶寶餐廳小廚 ,香港仔黃竹坑深灣道2號,1.5
一田超市,大子道東638號,3.8
宏興美食,彩虹道30-46號,4
金翠餐廳,新蒲崗爵祿街36號,3.2
思家菜,新蒲崗六合街8號,0
食家,新蒲崗五芳街8號,0
得龍生哥美食,康強街33號,4
喜樂小廚,新蒲崗爵祿街72號,5
港營彩頤店,九龍彩虹道242號 ,3.7
新哥廚房,新蒲崗彩虹道242號,2.7
潮人潮食,新蒲崗彩虹道242號,3.1
糖川(在家美食),爵祿街50-58號,3.7
乜餸小廚,筲箕灣筲箕灣道307-309號,4
包點超人,筲箕灣南安街15號,0
岱民東大街店,筲箕灣筲箕灣東大街 54-60號,0
岱民筲箕灣店,筲箕灣道279號,2
超人燒鵝,筲箕灣筲箕灣道328號,5
一田超市,興芳路223號,3.8
人人有飯開,葵芳興芳路208號,3
小米美食,葵涌智芳街,3.6
永樂燒味廚房,禮芳街5號,3
利興牛什麵家 ,葵涌葵順街2號,0
味食園,嘉定路2號,0
岱民石蔭店,和宜合道152號,3.5
返尋味美食,葵涌和宜合道138-160號,4
迪自由快餐,上角街,5
風味兩餸,香港葵涌葵盛圍63號,3.4
茶皇殿,葵涌上角街,3.1
密密食,葵涌耀榮街4-6號,0
膳廚食堂,香港新界葵豐街18-26號,3
麵家+餸飯,石蔭路2號,4.3
東裕燒臘飯店,葵涌禾葵里2號,2.9
香蕉飯堂,新界葵興工業街10-14號,5
本灣海產,慈雲山毓華街23號,3.6
明興美食,慈雲山毓華街23號,0
敍苑粉麵,毓華街72號,3.1
撈得喜,翠琳路11號,4.2
池記幸運星,銅鑼灣白沙道1-3號,3.7
岱民銅鑼灣店,銅鑼灣渣甸坊48號,4.3
肥仔美食,銅鑼灣希雲街31A號,0
香港人兩餸飯,銅鑼灣禮頓道希雲街1-5號,4.1
添飯餸,銅鑼灣渣甸街36號,3.3
惠康超級市場,銅鑼灣記利佐治街25-29號,4.1
超人燒鵝,灣仔堅拿道西10號,2.9
UNY,黃大仙聯合道198號,3.8
強記正宗潮州鹵味燒味 ,將軍澳彩明街1號,0
富豪燒味,將軍澳彩明街1號,0
豪宴海鮮酒家,將軍澳調景嶺景嶺路8號,3.1
Fusion by ParknShop,將軍澳景嶺路8號,3.6
Cafe Together,錦田錦上路71號,3.5
岱民西邨店,鴨脷洲鴨脷洲橋道322號,0
德利美食,薄扶林道,0
民天小廚,九龍觀塘藍田啟田道50號,2.7
百佳超級市場,九龍藍田匯景道8號,3.4
明興美食,碧雲道223號,0
家餸小廚,藍田啓田道51號67C號,0
餸多多,啟田大廈,3
日嚐,將軍澳欣景路8號,0
加餸堂,佳景路,0
正興美食,寶林邨,3.3
UNY生活創庫,欣景路8號,3.8
南苑美食,鰂魚涌芬尼街2B,3.9
香港人兩餸飯,鰂魚涌芬尼街22-46號,4.3
家之味,海堤街5號,3.5
凝香園,海光街13號,2.8
Thai Kitchen by Chanatcha,鰂魚涌海光街 7-9 號,4.8
135果園雞,灣仔皇后大道東247-249號,4
大亨廊,謝斐道138號,3.9
小苗子,灣仔軒尼詩道181號,3.4
天然齋,謝斐道254-272號,4.2
平民美食坊,灣仔軒尼詩道225號,4.3
老廣味小排檔,灣仔莊士敦道214號,4.5
佳記美食,軒尼詩道233號,3.5
岱民灣仔店,軒尼詩道365-367,3.5
林記灣仔美食,灣仔天樂里15號,0
表妹餐廳,灣仔機利臣街3號,4
金蒂餐廳,灣仔謝斐道69號,4
高妹廚房,灣仔柯布連道7C號,4.3
添飯餸,香港灣仔軒尼詩道176-178號,4.1
惠康超級市場 ,莊士敦道18號,3.8
楚留香美食,灣仔軒尼詩道164-166號,3
聖雅各福群會 雅膳坊,石水渠街85號,3.6
頌興餐廳小廚,軒尼詩道23-25號地下,3.4
德記外賣美食小店,灣仔軒尼詩道225號,3.6
潮香園美食,灣仔柯布連道4號,3.1
噹噹餸,香港灣仔軒尼詩道78號,0
駱克美食,駱克道123號,4.5
麗姐廚房,灣仔譚臣道105-111號,4.1
Eat道,譚臣道99號,4
U Select,灣仔港灣道28號,3.5
一田超市,觀塘觀塘道418號,3.8
三餸一湯,協和街139號H,3
日昇食堂,觀塘成業街27號,4.3
古老燒鵝大王,香港觀塘物華街53號,3.4
安發小食店,觀塘瑞寧街18B號,5
有鑊氣家常小菜,駿業街60號,0
夾餸,觀塘開源道63號,0
岱民翠屏店,九龍觀塘翠屏道19號,0
泰靚小廚,輔仁街53號,2.3
晴朗小食,觀塘巧明街107號,5
超人燒鵝,物華街45號,3
飯桶,觀塘道396號,4
嘉樂美食,嘉樂街51號,3.5
廚太郎,康寧道41號,0
營民嘉和店,嘉樂街22號,0
鴻圖樓,鴻圖道30號,3.2
佳坊美食,鑽石山彩虹道235號,3.6
明興美食,鑽石山鳳德道111號,0
紅樓,鑽石山彩虹道235號,3.4
